0, 'E01-B_EG01-B-3_BEAM_18', 160.71967, [8.1741766940330844, 258.39983672119638, 15.235372751776866, 0.055009129197119644], [1.5109197697303146e-07, -5.3724683471831502e-05, 0.0056728572784861628, -0.16298464601662407, 1.4666384942493906], 0.025407946143619228, 90.233066178477785, 25.430123884877123, 15.923390552782891, 0.56397624929769541, 4.1270327957297646, 4.1270327957297646, 1, 1, 0.46208337, 1.0, 3.8412003060008297, 30.561965999999998
1, 'E01-G_EG01-B-2_BEAM_17', 163.7341, [11.584800576013528, 259.1066233869816, 13.980975458999961, -0.016916155720668315], [4.9360791935598399e-08, -3.0430262814353405e-05, 0.0044015791740104979, -0.15352307108594371, 1.5323234650184656], 0.096723874176878707, 98.255497001242688, 25.422564298436054, 15.27493783018463, 0.44631400980359526, 5.0419753988106546, 4.8072982288082091, 1, 1, 0.42958707, 0.95345531236471259, 3.8409652489798058, 30.561965999999998
2, 'E01-R_EG01-B-0_BEAM_17', 116.22894, [8.8616773833624745, 258.67478398537554, 11.967418217679977, 0.0065417561866352942], [3.6570646086759808e-08, -1.5926462008372538e-05, 0.0020869515079620302, -0.071628846882163311, 0.91818785482699661], 0.26413781179371998, 2824.6534206197871, 26.015844031636099, 806.62471327889716, 12.646983723017456, 2.5637114080664904, 2.1863536436629079, 1, 1, 0.43904907, 0.8528080176199786, 2.4773893495086061, 30.561965999999998
3, 'E01-Y_EG01-B-1_BEAM_18', 225.46138, [15.875063696633761, 258.43221121437017, 13.522004667278898, -0.0059032586545053941], [3.1715521589655242e-07, -0.00010883428050363865, 0.011110890395201689, -0.29516413579740014, 1.8419138202129648], 0.38960844411618328, 83.158738025623975, 25.3179406100382, 14.98903588262524, 0.3513370683690995, 7.3370596534573043, 7.1330576795799612, 1, 1, 0.42598638, 0.97219567735404533, 8.3179255856167504, 30.561965999999998
4, 'E02-B_EG01-B-7_BEAM_18', 60.582924, [6.788726312654334, 257.88208993814715, -12.195685035537217, -0.053790901200057882], [1.1087887266917975e-07, -3.3124523797482103e-05, 0.0026934021838839035, -0.031297239681963553, 0.18812525056095794], 3.3660952934317652, -39.046022266017637, 201.28800911630722, 15.948896801110415, 69.316005018057709, 3.6102452731779522, 1.6113249496270328, 1, 2, 0.39393845, 0.44632007736378776, 2.6427300904373539, 30.561965999999998
5, 'E02-G_EG01-B-6_BEAM_18', 113.48712, [8.1418084303414577, 257.85565426188617, 12.092826702233747, 0.016973437865592956], [-1.1966338871872483e-08, -4.6318014228434455e-06, 0.0011213417900931475, -0.032529817315080867, 0.76799659931304554], 273989.71844074287, -120.60488381844897, 39.393710333015527, 21.249304230801954, 8.349467633507933, 2.6445545905025938, 2.5797531932694255, 1, 1, 0.38902256, 0.97549629057918108, nan, 30.561965999999998
6, 'E02-R_EG01-B-4_BEAM_17', 84.284607, [7.0416128965653462, 257.22231635983388, -10.538295999270067, 0.010351934218608838], [3.7159033825950638e-09, -7.2565610829930946e-06, 0.0010465067543782261, -0.0051056757104957556, -0.53273562426739407], 4.9733585958009616, -873.32481882082482, 315.81063270775542, 248.5762277255088, 151.91462669058808, 3.7067257545445833, 2.2723472862233405, 1, 1, 0.40796041, 0.61303356026200706, 0.79711875871807603, 30.561965999999998
7, 'E02-Y_EG01-B-5_BEAM_18', 94.583611, [6.2512460786519037, 257.31424759769374, 11.533150085724571, 0.034853626297309065], [4.8763076361569178e-08, -2.0888335561111996e-05, 0.0024430968801386803, -0.068258913375583707, 0.5783336405787558], 0.10135198644443771, 0.77594599395642472, 36.124068387704284, 0.4982226134998991, 6.0829117809146149, 2.8117635582470784, 1.1253234421972169, 1, 1, 0.40369445, 0.40021979760587367, 0.51611261982848822, 30.561965999999998
8, 'E03-B_EG01-R-3_BEAM_19', 15.756606, [1.0766786545632898, 312.4274865643668, 6.4152982673630143, 0.016415330905733258], [-1.6613048688786017e-08, 2.6905101367222864e-06, -9.0736425197343162e-06, -0.011072842818872733, 0.35644531652345374], 0.27288974011959838, 8580.3088752129952, 38.494353150696142, 2343.1181305433479, 47.099148010839905, 0.52356075090710874, 0.06301933359418399, 1, 1, 0.41495696, 0.12036680267762281, 1.0303920397440525, 30.561965999999998
9, 'E03-G_EG01-R-2_BEAM_18', -6.7028008, [3.1357773494719963, 330.87796458659284, 1.344276610483351, -0.02187492556533507], [5.4863174779610966e-09, -2.7754833218152852e-06, 0.00040364641173904663, -0.014937167019311181, 0.019670895550753943], 0.0045151564892562798, -6852.4756499308214, 24.456468933294698, 3274.1015382068244, 21.106893100737391, 0.69064548613320564, 0.22326763172219977, 1, 1, 0.45380256, 0.32327385931707642, -0.452314961258732, 30.561965999999998
10, 'E03-R_EG01-R-0_BEAM_18', 17.064497, [2.4728578547391464, 252.55477429980647, 7.4363420974842116, -0.0048996014931179622], [7.4746421831376025e-08, -2.0244074399085039e-05, 0.0017854255881196346, -0.055733845163584803, 0.65831633573362458], 0.0032825936520319539, 4210.3259522381159, 35.029164661720436, 2001.0944767979554, 41.877166267469384, 1.6333383753993429, 0.23729278992522637, 1, 2, 0.42824978, 0.14528085147525507, -0.12564796562032807, 30.561965999999998
